no,season,year,location,date
1,1,1988,KAIST,1월 4일~30일
2,1,1989,KAIST,1월 15일~2월 2일
3,1,1990,경기과학고,1월 4일~23일
4,1,1991,KAIST,1월 7일~2월 2일
5,1,1992,강원대,1월 6일~2월 1일
6,1,1993,강원대,
7,1,1994,강원대,1월 3일~29일
8,1,1995,KAIST,1월 3일~28일
9,1,1996,KAIST,1월 3일~27일
10,1,1997,KAIST,1월 3일~25일
11,1,1998,KAIST,1월 7일~22일
12,1,1999,KAIST,1월 4일~17일
13,1,2000,전북대,
14,1,2001,충남대,
15,1,2002,충남대,1월 3일~15일
16,1,2003,충남대,1월 6일~17일
17,1,2004,성균관대,1월 2일~14일
18,1,2005,한양여자대학,1월 3일~14일
19,1,2006,성균관대,1월 5일~21일
20,1,2007,KAIST,1월 8일~23일
21,1,2008,KAIST,1월 7일~22일
22,1,2009,충남대,1월 7일~22일
23,1,2010,한남대,1월 6일~21일
24,1,2011,KAIST,1월 6일~22일
25,1,2012,KAIST,1월 4일~19일
26,1,2013,KAIST,1월 8일~21일
27,1,2014,KAIST,
28,1,2015,KAIST,1월 2일~15일
29,1,2016,KAIST,1월 6일~19일
30,1,2017,KAIST,1월 4일~17일
31,1,2018,KAIST,1월 3일~16일
1,2,1991,KAIST,7월 29일~8월 17일
2,2,1992,전북대,
3,2,1993,,
4,2,1994,한림대,
5,2,1995,KAIST,
6,2,1996,KAIST,
7,2,1997,KAIST,
8,2,1998,아주대,8월 3일~14일
9,2,1999,,
10,2,2000,,
11,2,2001,,
12,2,2002,,
13,2,2003,,
14,2,2004,,
15,2,2005,,
16,2,2006,,
17,2,2007,,
18,2,2008,KAIST,7월 28일~8월 8일
19,2,2009,배재대,8월 3일~14일
20,2,2010,충남대,8월 2일~13일
21,2,2011,KAIST,8월 1일~12일
22,2,2012,충남대,7월 26일~8월 7일
23,2,2013,KAIST,8월 1일~13일
24,2,2014,KAIST,7월 23일~8월 1일
25,2,2015,KAIST,8월 3일~14일
26,2,2016,KAIST,8월 1일~12일
27,2,2017,KAIST,7월 31일~8월 11일
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
