season,no,role,name,aff,
1,2,강사,고기형,KAIST,강사
1,2,강사,김명환,KAIST,강사
1,2,강사,김하진,아주대,강사
1,2,강사,윤옥경,서울대,강사
1,2,강사,장건수,연세대,강사
1,2,강사,지동표,서울대,강사
1,2,강사,최영한,KAIST,강사
1,2,강사,최영한,KAIST,강사
1,3,강사,김명환,서울대,강사
1,3,강사,김성기,서울대,강사
1,3,강사,김재흠,경기과학고,강사
1,3,강사,김하진,아주대,강사
1,3,강사,박영하,경기과학고,강사
1,3,강사,윤옥경,서울대,강사
1,3,강사,차가원,경기과학고,강사
1,3,강사,최영한,KAIST,강사
1,3,강사,한상근,KAIST,강사
1,4,강사,고기형,KAIST,강사
1,4,강사,김명환,서울대,강사
1,4,강사,김성기,서울대,강사
1,4,강사,윤옥경,서울대,강사
1,4,강사,조승제,서울대,강사
1,4,강사,진교택,KAIST,강사
1,4,강사,최영한,KAIST,강사
1,4,강사,한상근,KAIST,강사
1,8,강사,고기형,KAIST,강사
1,8,강사,곽도영,KAIST,강사
1,8,강사,금종해,,강사
1,8,강사,김동수,KAIST,강사
1,8,강사,김홍오,KAIST,강사
1,8,강사,박대현,,강사
1,8,강사,박승경,,강사
1,8,강사,박화신,전북대,강사
1,8,강사,방승진,,강사
1,8,강사,송용진,,강사
1,8,강사,윤옥경,,강사
1,8,강사,이중섭,,강사
1,8,강사,임진환,KAIST,강사
1,8,강사,진교택,KAIST,강사
1,8,강사,최부림,KAIST,강사
1,8,강사,한상근,KAIST,강사
1,8,강사,황석근,,강사
1,8,조교,김경수,KAIST,조교
1,8,조교,남승엽,KAIST,조교
1,8,조교,박용배,KAIST,조교
1,8,조교,엄상일,KAIST,조교
1,8,조교,윤아람,KAIST,조교
1,8,조교,이영석,KAIST,조교
1,8,조교,정진우,KAIST,조교
1,8,조교,조철현,KAIST,조교
1,8,조교,채승병,KAIST,조교
1,9,강사,고성은,,강사
1,9,강사,금종해,,강사
1,9,강사,김동수,KAIST,강사
1,9,강사,김명환,서울대,강사
1,9,강사,김홍오,KAIST,강사
1,9,강사,방승진,아주대,강사
1,9,강사,백정선,,강사
1,9,강사,송용진,인하대,강사
1,9,강사,윤영진,,강사
1,9,강사,윤옥경,서울대,강사
1,9,강사,이중섭,,강사
1,9,강사,임진환,KAIST,강사
1,9,강사,정달영,,강사
1,9,강사,정순영,,강사
1,9,강사,진교택,KAIST,강사
1,9,강사,한상근,KAIST,강사
1,9,조교,박용배,KAIST,조교
1,9,조교,서충원,KAIST,조교
1,9,조교,신종현,KAIST,조교
1,9,조교,엄상일,KAIST,조교
1,9,조교,이상진b,KAIST,조교
1,9,조교,채승병,KAIST,조교
1,9,조교,허충길,KAIST,조교
1,10,강사,강현배,,강사
1,10,강사,고기형,KAIST,강사
1,10,강사,고기형,,강사
1,10,강사,김동수,KAIST,강사
1,10,강사,김동수,,강사
1,10,강사,김명환,,강사
1,10,강사,김응갑,,강사
1,10,강사,노영석,,강사
1,10,강사,민진식,,강사
1,10,강사,박병호,,강사
