year,role,name,aff
2017,단장,송용진,인하대
2017,부단장,최수영,아주대
2017,부단장,엄상일,KAIST
2017,부단장,이승훈,유원대
2017,조교,이종원,KAIST
2017,참관인,김기상,한국과학창의재단
2016,단장,송용진,인하대
2016,부단장,임보해,중앙대
2016,부단장,엄상일,KAIST
2016,부단장,이승훈,영동대
2016,조교,이산하,서울대
2016,참관인,오혜윤,한국과학창의재단
2016,행정관,신재은,대한수학회
2015,단장,송용진,인하대
2015,부단장,임보해,중앙대
2015,부단장,최수영,아주대
2015,부단장,이승훈,영동대
2015,조교,박성진,서울대
2015,참관인,손상호,미래창조과학부
2015,참관인,최연구,한국과학창의재단
2015,행정관,신재은,대한수학회
2014,IMO AB,김명환,서울대
2014,단장,송용진,인하대
2014,부단장,김상현,서울대
2014,부단장,조철현,서울대
2014,조교,장재원,서울대
2014,참관인,최태영,한국과학창의재단
2013,IMO AB,김명환,서울대
2013,단장,송용진,인하대
2013,부단장,조철현,서울대
2013,부단장,김상현,서울대
2013,조교,임준혁,서울대
2013,참관인,문일영,한국과학창의재단
2012,단장,송용진,인하대
2012,부단장,엄상일,KAIST
2012,부단장,이승훈,영동대
2012,부단장,김명환,서울대
2012,조교,이수홍,서울대
2012,참관인,김민정,교육과학기술부
2012,참관인,장순범,한국과학창의재단
2012,참관인,이영주,한국연구재단
2011,단장,송용진,인하대
2011,부단장,이승훈,영동대
2011,부단장,엄상일,KAIST
2011,조교,임동규,서울대
2011,참관인,우명순,교육과학기술부
2011,참관인,정성용,한국과학창의재단
2010,IMO AB,김명환,서울대
2010,단장,송용진,인하대
2010,부단장,이승훈,영동대
2010,부단장,문명호,건국대
2010,조교,남경식,서울대
2010,참관인,편은진,한국과학창의재단
2009,단장,김명환,서울대
2009,부단장,오병권,서울대
2009,부단장,금종해,고등과학원
2009,부단장,송용진,인하대
2009,부단장,엄상일,KAIST
2009,조교,양제하,서울대
2009,참관인,박희원,한국과학창의재단
2009,행정관,구현경,대한수학회
